Q,J_numerical,J_exact,Absolute_difference,Percent_difference
1.250000000000000e+00,5.054145334712012e-02,5.044605829123418e-02,9.539505588593983e-05,1.891030917325730e-01
1.300000000000000e+00,4.368913383228265e-02,4.360758335115281e-02,8.155048112983704e-05,1.870098612737758e-01
1.350000000000000e+00,3.781961875203464e-02,3.775000450449596e-02,6.961424753867962e-05,1.844085807470267e-01
1.400000000000000e+00,3.278919956368612e-02,3.272982825381666e-02,5.937130986945205e-05,1.813981711392839e-01
1.450000000000000e+00,2.847450122829019e-02,2.842388838303287e-02,5.061284525732443e-05,1.780644666742248e-01
1.500000000000000e+00,2.476999274242722e-02,2.472684899500847e-02,4.314374741875432e-05,1.744813802497181e-01
1.550000000000000e+00,2.158565438424675e-02,2.154886785661966e-02,3.678652762709178e-05,1.707121129140491e-01
1.600000000000000e+00,1.884485109794504e-02,1.881346828629997e-02,3.138281164507054e-05,1.668103465426606e-01
1.650000000000000e+00,1.648243187981268e-02,1.645563858192250e-02,2.679329789018192e-05,1.628213803845690e-01
1.700000000000000e+00,1.444305600633394e-02,1.442015921781789e-02,2.289678851604728e-05,1.587831879675466e-01
1.750000000000000e+00,1.267973539899035e-02,1.266014668544434e-02,1.958871354601488e-05,1.547273821758833e-01
1.800000000000000e+00,1.115257602851473e-02,1.113579660082200e-02,1.677942769272994e-05,1.506800841844701e-01
1.850000000000000e+00,9.827698313091859e-03,9.813305854041336e-03,1.439245905052351e-05,1.466626972051053e-01
1.900000000000000e+00,8.676315733683115e-03,8.663952914927707e-03,1.236281875540736e-05,1.426925893619139e-01
1.950000000000000e+00,7.673951516607219e-03,7.663316083616710e-03,1.063543299050906e-05,1.387836920004695e-01
2.000000000000000e+00,6.799774632361930e-03,6.790610905254201e-03,9.163727107728593e-06,1.349470207553521e-01
2.050000000000000e+00,6.036038140692038e-03,6.028129769306987e-03,7.908371385051231e-06,1.311911270609624e-01
2.100000000000000e+00,5.367604824364120e-03,5.360768638835279e-03,6.836185528841070e-06,1.275224877141191e-01
2.150000000000000e+00,4.781546943496150e-03,4.775627751576318e-03,5.919191919832520e-06,1.239458397459630e-01
2.200000000000000e+00,4.266808719326281e-03,4.261674915339370e-03,5.133803986910948e-06,1.204644673490335e-01
2.250000000000000e+00,3.813921774855699e-03,3.809461640138528e-03,4.460134717170980e-06,1.170804470158358e-01
2.300000000000000e+00,3.414765201469953e-03,3.410883791156958e-03,3.881410312995669e-06,1.137948564257333e-01
2.350000000000000e+00,3.062363184191013e-03,3.058979709382144e-03,3.383474808868903e-06,1.106079520073803e-01
2.400000000000000e+00,2.750714212427853e-03,2.747759839746011e-03,2.954372681841875e-06,1.075193195237529e-01
2.450000000000000e+00,2.474646842098417e-03,2.472062844211816e-03,2.583997886601488e-06,1.045280014887874e-01
2.500000000000000e+00,2.229697775224755e-03,2.227433976056157e-03,2.263799168597796e-06,1.016326047340818e-01
2.550000000000000e+00,2.012008701434360e-03,2.010022168565658e-03,1.986532868701683e-06,9.883139100496899e-02
2.600000000000000e+00,1.818238918450580e-03,1.816492862767471e-03,1.746055683109118e-06,9.612235307376654e-02
2.650000000000000e+00,1.645491230581014e-03,1.643954079619312e-03,1.537150961702363e-06,9.350327851361388e-02
2.700000000000000e+00,1.491249028838607e-03,1.489893645726668e-03,1.355383111939284e-06,9.097180297579036e-02
2.750000000000000e+00,1.353322795472053e-03,1.352125819943878e-03,1.196975528175133e-06,8.852545454866141e-02
2.800000000000000e+00,1.229804559596892e-03,1.228745851398735e-03,1.058708198157197e-06,8.616169055236472e-02
2.850000000000000e+00,1.119029068114343e-03,1.118091236352994e-03,9.378317613489319e-07,8.387792792366075e-02
2.900000000000000e+00,1.019540634686096e-03,1.018708639365162e-03,8.319953209339273e-07,8.167156817796395e-02
2.950000000000000e+00,9.300647955536761e-04,9.293256097983228e-04,7.391857553532997e-07,7.954001778921317e-02
3.000000000000000e+00,8.494840398046718e-04,8.488263631567752e-04,6.576766478966125e-07,7.748070470510846e-02
3.050000000000000e+00,7.768169977904110e-04,7.762310125256724e-04,5.859852647386058e-07,7.549109160582855e-02
3.100000000000000e+00,7.112005685538218e-04,7.106777322814589e-04,5.228362723628610e-07,7.356868642618387e-02
3.150000000000000e+00,6.518745484764126e-04,6.514074173738536e-04,4.671311025590194e-07,7.171105058064223e-02
3.200000000000000e+00,5.981683915221807e-04,5.977504694679717e-04,4.179220542089787e-07,6.991580526585794e-02
3.250000000000000e+00,5.494897886289561e-04,5.491153982571853e-04,3.743903717707501e-07,6.818063615753850e-02
3.300000000000000e+00,5.053148017938184e-04,5.049789741280224e-04,3.358276657959959e-07,6.650329677109622e-02
3.350000000000000e+00,4.651793287330205e-04,4.648777085878416e-04,3.016201451789386e-07,6.488161071331419e-02
3.400000000000000e+00,4.286717079285952e-04,4.284004727108929e-04,2.712352177022879e-07,6.331347301881518e-02
3.450000000000000e+00,3.954263024523116e-04,3.951820923645687e-04,2.442100877428767e-07,6.179685073320193e-02
3.500000000000000e+00,3.651179250559677e-04,3.648977830157352e-04,2.201420402324892e-07,6.032978288141482e-02
3.550000000000000e+00,3.374569873623888e-04,3.372583072122398e-04,1.986801501490114e-07,5.891037993735174e-02
3.600000000000000e+00,3.121852731898430e-04,3.120057549911809e-04,1.795181986620942e-07,5.753682289199069e-02
3.650000000000000e+00,2.890722505992453e-04,2.889098619872549e-04,1.623886119904092e-07,5.620736200329945e-02
3.700000000000000e+00,2.679118495901743e-04,2.677647923219795e-04,1.470572681947814e-07,5.492031529595170e-02
3.750000000000000e+00,2.485196428405915e-04,2.483863237990607e-04,1.333190415308042e-07,5.367406686958197e-02
3.800000000000000e+00,2.307303757807391e-04,2.306093818063449e-04,1.209939743942665e-07,5.246706506323825e-02
3.850000000000000e+00,2.143957998604130e-04,2.142858758764127e-04,1.099239840002687e-07,5.129782051695571e-02
3.900000000000000e+00,1.993827693171337e-04,1.992827992918553e-04,9.997002527840438e-08,5.016490416315129e-02
3.950000000000000e+00,1.855715672538323e-04,1.854805576103165e-04,9.100964351582697e-08,4.906694517655741e-02
4.000000000000000e+00,1.728544315338733e-04,1.727714966734735e-04,8.293486039985748e-08,4.800262890388616e-02
4.050000000000000e+00,1.611342550208000e-04,1.610586046751596e-04,7.565034564036596e-08,4.697069479333051e-02
4.100000000000001e+00,1.503234381329072e-04,1.502543662993790e-04,6.907183352827719e-08,4.596993433831592e-02
4.150000000000000e+00,1.403428746353084e-04,1.402797498854620e-04,6.312474984642834e-08,4.499918904757779e-02
4.200000000000000e+00,1.311210541276384e-04,1.310633111079716e-04,5.774301966681968e-08,4.405734845142913e-02
4.250000000000000e+00,1.225932668656937e-04,1.225403988347977e-04,5.286803089600100e-08,4.314334815188160e-02
4.300000000000000e+00,1.147008984323363e-04,1.146524507002416e-04,4.844773209462816e-08,4.225616792203993e-02
4.350000000000001e+00,1.073908033911190e-04,1.073463675449131e-04,4.443584620597021e-08,4.139482985987255e-02
4.400000000000000e+00,1.006147484527878e-04,1.005739572683238e-04,4.079118446407399e-08,4.055839659887914e-02
4.450000000000000e+00,9.432891689190438e-05,9.429143984490919e-05,3.747704699519512e-08,3.974596957776599e-02
4.500000000000000e+00,8.849346699535304e-05,8.845900629681843e-05,3.446069853461225e-08,3.895668737107630e-02
4.550000000000000e+00,8.307213822944488e-05,8.304042532013968e-05,3.171290930519802e-08,3.818972408069631e-02
4.600000000000001e+00,7.803189959732811e-05,7.800269204483592e-05,2.920755249218368e-08,3.744428778867682e-02
4.650000000000000e+00,7.334263534017166e-05,7.331571408923911e-05,2.692125093254380e-08,3.671961907071591e-02
4.700000000000000e+00,6.897686372839105e-05,6.895203066174006e-05,2.483306665099357e-08,3.601498956980376e-02
4.750000000000000e+00,6.490948520525355e-05,6.488656097751208e-05,2.292422774146567e-08,3.532970062847157e-02
4.800000000000001e+00,6.111755659498026e-05,6.109637870714275e-05,2.117788783750874e-08,3.466308197908437e-02
4.850000000000001e+00,5.758008847993179e-05,5.756050956587966e-05,1.957891405213419e-08,3.401449048974377e-02
4.900000000000000e+00,5.427786319430525e-05,5.425974949448780e-05,1.811369981745002e-08,3.338330896512925e-02
4.950000000000000e+00,5.119327118160480e-05,5.117650118207980e-05,1.676999952499156e-08,3.276894499943622e-02
5.000000000000000e+00,4.831016372565169e-05,4.829462694337592e-05,1.553678227577266e-08,3.217082988132220e-02
5.050000000000001e+00,4.561372029498213e-05,4.559931619258473e-05,1.440410239740168e-08,3.158841754680533e-02
5.100000000000001e+00,4.309032894235850e-05,4.307696595766799e-05,1.336298469051072e-08,3.102118358020526e-02
5.150000000000000e+00,4.072747837844096e-05,4.071507305581418e-05,1.240532262677274e-08,3.046862426052122e-02
5.200000000000000e+00,3.851366049458482e-05,3.850213670663740e-05,1.152378794741970e-08,2.993025565106654e-02
5.250000000000000e+00,3.643828224696681e-05,3.642757049665924e-05,1.071175030756467e-08,2.940561273101383e-02
5.300000000000001e+00,3.449158593516653e-05,3.448162272938508e-05,9.963205781457506e-09,2.889424856727207e-02
5.350000000000001e+00,3.266457701498440e-05,3.265530430179334e-05,9.272713191058946e-09,2.839573352421559e-02
5.400000000000000e+00,3.094895867943980e-05,3.094032334209063e-05,8.635337349168133e-09,2.790965451036765e-02
5.450000000000000e+00,2.933707252511354e-05,2.932902592669415e-05,8.046598419391863e-09,2.743561425975678e-02
5.500000000000000e+00,2.782184469461408e-05,2.781434226792121e-05,7.502426692869186e-09,2.697323064698845e-02
5.550000000000001e+00,2.639673695113392e-05,2.638973782896795e-05,6.999122165961800e-09,2.652213603379902e-02
5.600000000000001e+00,2.505570219883795e-05,2.504916888046050e-05,6.533318377449540e-09,2.608197664612269e-02
5.650000000000000e+00,2.379314401408075e-05,2.378704206405253e-05,6.101950028215847e-09,2.565241198037498e-02
5.700000000000000e+00,2.260387979796379e-05,2.259817757400109e-05,5.702223962698600e-09,2.523311423687074e-02
5.750000000000000e+00,2.148310720119413e-05,2.147777560805295e-05,5.331593141173622e-09,2.482376777963252e-02
5.800000000000001e+00,2.042637350819149e-05,2.042138577491635e-05,4.987733275143647e-09,2.442406862158246e-02
5.850000000000001e+00,1.942954769943045e-05,1.942487917759457e-05,4.668521835876448e-09,2.403372393307500e-02
5.900000000000000e+00,1.848879493955649e-05,1.848442292037660e-05,4.372019179895131e-09,2.365245157356558e-02
5.950000000000000e+00,1.760055326428234e-05,1.759645681271819e-05,4.096451564154893e-09,2.327997964450492e-02
6.000000000000000e+00,1.676151226180383e-05,1.675767206595414e-05,3.840195849688481e-09,2.291604606280872e-02
6.050000000000001e+00,1.596859356478672e-05,1.596499179907154e-05,3.601765715179354e-09,2.256039815434681e-02
6.100000000000001e+00,1.521893298713772e-05,1.521555318791603e-05,3.379799221689625e-09,2.221279226557344e-02
6.150000000000000e+00,1.450986415602666e-05,1.450669110843899e-05,3.173047587665936e-09,2.187299339282185e-02
6.200000000000000e+00,1.383890350418450e-05,1.383592313913558e-05,2.980365048920009e-09,2.154077482903834e-02
6.250000000000000e+00,1.320373650055074e-05,1.320093580085900e-05,2.800699691736543e-09,2.121591782572186e-02
6.300000000000001e+00,1.260220500904934e-05,1.259957192388944e-05,2.633085159898895e-09,2.089821127102286e-02
6.350000000000001e+00,1.203229567578184e-05,1.202981904263515e-05,2.476633146695752e-09,2.058745138158988e-02
6.400000000000000e+00,1.149212925436792e-05,1.148979872777499e-05,2.330526592929784e-09,2.028344140873468e-02
6.450000000000000e+00,1.097995078765394e-05,1.097775677413383e-05,2.194013520111205e-09,1.998599135736743e-02
6.500000000000000e+00,1.049412057164894e-05,1.049205417021317e-05,2.066401435767891e-09,1.969491771815650e-02
6.550000000000001e+00,1.003310583442683e-05,1.003115878217268e-05,1.947052254141159e-09,1.941004321057552e-02
6.600000000000001e+00,9.595473068932594e-06,9.593637691250726e-06,1.835377681868756e-09,1.913119653812440e-02
6.650000000000000e+00,9.179880964220418e-06,9.178150129197242e-06,1.730835023176159e-09,1.885821215399475e-02
6.700000000000000e+00,8.785073884696856e-06,8.783440961332882e-06,1.632923363974515e-09,1.859093003713570e-02
6.750000000000000e+00,8.409875851497852e-06,8.408334671399471e-06,1.541180098380116e-09,1.832919547817670e-02
6.800000000000001e+00,8.053184984245651e-06,8.051729806480780e-06,1.455177764871852e-09,1.807285887438237e-02
6.850000000000001e+00,7.713968365155047e-06,7.712593843992340e-06,1.374521162706460e-09,1.782177553375421e-02
6.900000000000000e+00,7.391257290827520e-06,7.389958446105423e-06,1.298844722097209e-09,1.757580548753576e-02
6.950000000000000e+00,7.084142880123175e-06,7.082915070018818e-06,1.227810104356962e-09,1.733481331089433e-02
7.000000000000000e+00,6.791772009264740e-06,6.790610905254201e-06,1.161104010538387e-09,1.709866795106738e-02
7.050000000000001e+00,6.513343547835023e-06,6.512245111655755e-06,1.098436179268297e-09,1.686724256281897e-02
7.100000000000001e+00,6.248104871603581e-06,6.247065334047199e-06,1.039537556382303e-09,1.664041435130681e-02
7.150000000000000e+00,5.995348630183283e-06,5.994364471562719e-06,9.841586205642841e-10,1.641806442089291e-02
7.200000000000000e+00,5.754409749393670e-06,5.753477681542766e-06,9.320678509045524e-10,1.620007763121492e-02
7.250000000000000e+00,5.524662649913099e-06,5.523779599589669e-06,8.830503234306285e-10,1.598634245827306e-02
7.300000000000001e+00,5.305518665352967e-06,5.304681758927830e-06,8.369064251367411e-10,1.577675086216472e-02
7.350000000000001e+00,5.096423644299057e-06,5.095630193624116e-06,7.934506749410685e-10,1.557119815982467e-02
7.400000000000000e+00,4.896855722150635e-06,4.896103211508506e-06,7.525106421288509e-10,1.536958290340043e-02
7.450000000000000e+00,4.706323249759656e-06,4.705609323806022e-06,7.139259536340106e-10,1.517180676309457e-02
7.500000000000000e+00,4.524362866940430e-06,4.523685319558009e-06,6.775473824216369e-10,1.497777441530432e-02
7.550000000000001e+00,4.350537709894715e-06,4.349894473884847e-06,6.432360098681161e-10,1.478739343517105e-02
7.600000000000001e+00,4.184435742486661e-06,4.183824880030930e-06,6.108624557319494e-10,1.460057419342641e-02
7.650000000000000e+00,4.025668202114435e-06,4.025087895944532e-06,5.803061699029185e-10,1.441722975758131e-02
7.700000000000000e+00,3.873868151667862e-06,3.873316696887249e-06,5.514547806136216e-10,1.423727579665233e-02
7.750000000000000e+00,3.728689129740169e-06,3.728164926245818e-06,5.242034943505109e-10,1.406063049035688e-02
7.800000000000001e+00,3.589803891882946e-06,3.589305437339901e-06,4.984545430450396e-10,1.388721444153422e-02
7.850000000000001e+00,3.456903236261924e-06,3.456429119587351e-06,4.741166745736035e-10,1.371695059177740e-02
7.900000000000000e+00,3.329694907591706e-06,3.329243802908729e-06,4.511046829769742e-10,1.354976414111962e-02
7.950000000000000e+00,3.207902573704646e-06,3.207473234729595e-06,4.293389750504814e-10,1.338558247039204e-02
8.000000000000000e+00,3.091264869546373e-06,3.090856124376059e-06,4.087451703140681e-10,1.322433506660166e-02
8.050000000000001e+00,2.979534503791597e-06,2.979145250059975e-06,3.892537316216466e-10,1.306595345137369e-02
8.100000000000000e+00,2.872477423641986e-06,2.872106624018087e-06,3.707996238987230e-10,1.291037111219684e-02
8.150000000000000e+00,2.769872033705866e-06,2.769518711707154e-06,3.533219987115636e-10,1.275752343604038e-02
8.200000000000001e+00,2.671508465170104e-06,2.671171701267499e-06,3.367639026041043e-10,1.260734764613994e-02
8.250000000000000e+00,2.577187891759810e-06,2.576866819752562e-06,3.210720072476538e-10,1.245978274028473e-02
8.300000000000001e+00,2.486721889244003e-06,2.486415692884292e-06,3.061963597101691e-10,1.231476943241840e-02
8.350000000000000e+00,2.399931835486838e-06,2.399639745335637e-06,2.920901512014385e-10,1.217225009584028e-02
8.400000000000000e+00,2.316648348266089e-06,2.316369638763237e-06,2.787095028516725e-10,1.203216870863848e-02
8.450000000000001e+00,2.236710758285391e-06,2.236444745018206e-06,2.660132671847688e-10,1.189447080136126e-02
8.500000000000000e+00,2.159966614995122e-06,2.159712652151073e-06,2.539628440495827e-10,1.175910340649419e-02
8.550000000000001e+00,2.086271223010641e-06,2.086028701000753e-06,2.425220098877307e-10,1.162601500983102e-02
8.600000000000000e+00,2.015487207076863e-06,2.015255550317554e-06,2.316567593087835e-10,1.149515550384070e-02
8.650000000000000e+00,1.947484103675883e-06,1.947262768517871e-06,2.213351580118887e-10,1.136647614232128e-02
8.700000000000001e+00,1.882137977510934e-06,1.881926450304730e-06,2.115272062036134e-10,1.123992949721079e-02
8.750000000000000e+00,1.819331061225801e-06,1.819128856514104e-06,2.022047116969508e-10,1.111546941674184e-02
8.800000000000001e+00,1.758951416835317e-06,1.758758075663355e-06,1.933411719615584e-10,1.099305098506146e-02
8.850000000000000e+00,1.700892617450062e-06,1.700707705785610e-06,1.849116644516266e-10,1.087263048333224e-02
8.900000000000000e+00,1.645053447977821e-06,1.644876555233227e-06,1.768927445947356e-10,1.075416535252726e-02
8.950000000000001e+00,1.591337623576401e-06,1.591168361225544e-06,1.692623508568266e-10,1.063761415708756e-02
9.000000000000000e+00,1.539653524717415e-06,1.539491525001043e-06,1.619997163721013e-10,1.052293655023476e-02
9.050000000000001e+00,1.489913947799560e-06,1.489758862512914e-06,1.550852866455126e-10,1.041009324045342e-02
9.100000000000000e+00,1.442035870322794e-06,1.441887369679915e-06,1.485006428787068e-10,1.029904595888599e-02
9.150000000000000e+00,1.395940229702456e-06,1.395798001271935e-06,1.422284305211007e-10,1.018975742847415e-02
9.200000000000001e+00,1.351551714865055e-06,1.351415462572408e-06,1.362522926462929e-10,1.008219133344366e-02
9.250000000000000e+00,1.308798569825520e-06,1.308668013017694e-06,1.305568078251623e-10,9.976312290548595e-03
9.300000000000001e+00,1.267612408499622e-06,1.267487281067470e-06,1.251274321526034e-10,9.872085820634183e-03
9.350000000000000e+00,1.227928040055321e-06,1.227808089610171e-06,1.199504451502851e-10,9.769478322004648e-03
9.400000000000000e+00,1.189683304153127e-06,1.189568291253881e-06,1.150128992468526e-10,9.668457043825678e-03
9.450000000000001e+00,1.152818915468811e-06,1.152708612896211e-06,1.103025726007336e-10,9.568990061035071e-03
9.500000000000000e+00,1.117278316931745e-06,1.117172509006724e-06,1.058079250207554e-10,9.471046250039668e-03
9.550000000000001e+00,1.083007541149440e-06,1.082906023092673e-06,1.015180567675212e-10,9.374595265210147e-03
9.600000000000001e+00,1.049955079523454e-06,1.049857656853423e-06,9.742267003013953e-11,9.279607515758802e-03
9.650000000000000e+00,1.018071758594010e-06,1.017978246561107e-06,9.351203290339585e-11,9.186054144014810e-03
9.700000000000001e+00,9.873106231806477e-07,9.872208462349662e-07,8.977694568155837e-11,9.093907004085969e-03
9.750000000000000e+00,9.576268259140813e-07,9.575406172047666e-07,8.620870931465946e-11,9.003138641399693e-03
9.800000000000001e+00,9.289775227803991e-07,9.288947236845226e-07,8.279909587648013e-11,8.913722272859083e-03
9.850000000000001e+00,9.013217743229274e-07,9.012422340020222e-07,7.954032090521858e-11,8.825631767390088e-03
9.900000000000000e+00,8.746204521695801e-07,8.745440271520835e-07,7.642501749656399e-11,8.738841627612381e-03
9.950000000000001e+00,8.488361505745280e-07,8.487627043625039e-07,7.344621202413232e-11,8.653326971912245e-03
1.000000000000000e+01,8.239331026825961e-07,8.238625053812187e-07,7.059730137736171e-11,8.569063516817632e-03
1.005000000000000e+01,7.998771012430227e-07,7.998092292114003e-07,6.787203162231732e-11,8.486027560501909e-03
1.010000000000000e+01,7.766354235162985e-07,7.765701590383168e-07,6.526447798174997e-11,8.404195966346648e-03
1.015000000000000e+01,7.541767601336467e-07,7.541139911075937e-07,6.276902605298756e-11,8.323546147286896e-03
1.020000000000000e+01,7.324711476835792e-07,7.324107673294001e-07,6.038035417916777e-11,8.244056050586685e-03
1.025000000000000e+01,7.114899048138252e-07,7.114318113969267e-07,5.809341689853188e-11,8.165704143094612e-03
1.030000000000000e+01,6.912055716498486e-07,6.911496682204471e-07,5.590342940147606e-11,8.088469396999733e-03
1.035000000000000e+01,6.715918523433145e-07,6.715380464903856e-07,5.380585292886805e-11,8.012331275952269e-03
1.040000000000000e+01,6.526235605751370e-07,6.525717641940848e-07,5.179638105223099e-11,7.937269721775145e-03
1.045000000000000e+01,6.342765678483448e-07,6.342266969215677e-07,4.987092677713741e-11,7.863265141502668e-03
1.050000000000000e+01,6.165277544158953e-07,6.164797288054778e-07,4.802561041750905e-11,7.790298394817603e-03
1.055000000000000e+01,5.993549626978050e-07,5.993087059496127e-07,4.625674819232995e-11,7.718350782012337e-03
1.060000000000000e+01,5.827369530506656e-07,5.826923922091693e-07,4.456084149638598e-11,7.647404032072889e-03
1.065000000000000e+01,5.666533617606956e-07,5.666104271938902e-07,4.293456680543206e-11,7.577440291394450e-03
1.070000000000000e+01,5.510846611390981e-07,5.510432863729257e-07,4.137476617237659e-11,7.508442112544979e-03
1.075000000000000e+01,5.360121216056146e-07,5.359722431673332e-07,3.987843828144889e-11,7.440392443792774e-03
1.080000000000000e+01,5.214177756528179e-07,5.213793329227963e-07,3.844273002159777e-11,7.373274618710331e-03
1.085000000000000e+01,5.072843835899673e-07,5.072473186614204e-07,3.706492854693412e-11,7.307072345842084e-03
1.090000000000000e+01,4.935954009710948e-07,4.935596585172967e-07,3.574245379806521e-11,7.241769699217146e-03
1.095000000000000e+01,4.803349476174967e-07,4.803004747660446e-07,3.447285145202774e-11,7.177351108973927e-03
1.100000000000000e+01,4.674877781499731e-07,4.674545243636996e-07,3.325378627344980e-11,7.113801351845924e-03
1.105000000000000e+01,4.550392539509848e-07,4.550071709151376e-07,3.208303584719521e-11,7.051105542505604e-03
1.110000000000000e+01,4.429753164814658e-07,4.429443579968011e-07,3.095848466469721e-11,6.989249124812373e-03
1.115000000000000e+01,4.312824618812740e-07,4.312525837627282e-07,2.987811854576996e-11,6.928217863665871e-03
1.120000000000000e+01,4.199477167862899e-07,4.199188767669179e-07,2.884001937196949e-11,6.867997836633947e-03
1.125000000000000e+01,4.089586152989395e-07,4.089307729388235e-07,2.784236011599259e-11,6.808575426080207e-03
1.130000000000000e+01,3.983031770524438e-07,3.982762936522948e-07,2.688340014906132e-11,6.749937311742487e-03
1.135000000000000e+01,3.879698863124448e-07,3.879439248316376e-07,2.596148080718203e-11,6.692070463134320e-03
1.140000000000000e+01,3.779476720627699e-07,3.779225970415667e-07,2.507502120314974e-11,6.634962132309808e-03
1.145000000000000e+01,3.682258890250510e-07,3.682016665107813e-07,2.422251426973960e-11,6.578599847002687e-03
1.150000000000000e+01,3.587942995646820e-07,3.587708970416632e-07,2.340252301878592e-11,6.522971403688925e-03
1.155000000000000e+01,3.496430564381944e-07,3.496204427611892e-07,2.261367700519015e-11,6.468064861023185e-03
1.160000000000000e+01,3.407626863396000e-07,3.407408316706165e-07,2.185466898352304e-11,6.413868533563146e-03
1.165000000000000e+01,3.321440742055418e-07,3.321229499537972e-07,2.112425174462125e-11,6.360370985371507e-03
1.170000000000000e+01,3.237784482412782e-07,3.237580270061540e-07,2.042123512418467e-11,6.307561024207903e-03
1.175000000000000e+01,3.156573656315754e-07,3.156376211484046e-07,1.974448317077465e-11,6.255427695512669e-03
1.180000000000000e+01,3.077726989025028e-07,3.077536059910377e-07,1.909291146506065e-11,6.203960276461122e-03
1.185000000000000e+01,3.001166229019598e-07,3.000981574173756e-07,1.846548458422706e-11,6.153148270932341e-03
1.190000000000000e+01,2.926816023684622e-07,2.926637411547643e-07,1.786121369788197e-11,6.102981403643279e-03
1.195000000000000e+01,2.854603800593420e-07,2.854431009050482e-07,1.727915429382663e-11,6.053449615366423e-03
1.200000000000000e+01,2.784459654110406e-07,2.784292470070196e-07,1.671840402098020e-11,6.004543057417636e-03
1.205000000000000e+01,2.716316237056037e-07,2.716154456049564e-07,1.617810064728915e-11,5.956252086937260e-03
1.210000000000000e+01,2.650108657188586e-07,2.649952082987349e-07,1.565742012367468e-11,5.908567262100727e-03
1.215000000000000e+01,2.585774378270198e-07,2.585622822522711e-07,1.515557474877699e-11,5.861479337496787e-03
1.220000000000000e+01,2.523253125496888e-07,2.523106407382610e-07,1.467181142777320e-11,5.814979259235154e-03
1.225000000000000e+01,2.462486795083555e-07,2.462344740983326e-07,1.420541002288656e-11,5.769058160886803e-03
1.230000000000000e+01,2.403419367805790e-07,2.403281810987914e-07,1.375568178759309e-11,5.723707359120967e-03
1.235000000000000e+01,2.345996826310553e-07,2.345863606631745e-07,1.332196788079346e-11,5.678918349358558e-03
1.240000000000000e+01,2.290167076017334e-07,2.290038039637752e-07,1.290363795822368e-11,5.634682802153291e-03
1.245000000000000e+01,2.235879869440543e-07,2.235754868552214e-07,1.250008883292539e-11,5.590992558598319e-03
1.250000000000000e+01,2.183086733772513e-07,2.182965626340454e-07,1.211074320591410e-11,5.547839626873406e-03
1.255000000000000e+01,2.131740901574560e-07,2.131623551089964e-07,1.173504845955424e-11,5.505216178322739e-03
1.260000000000000e+01,2.081797244431309e-07,2.081683519676186e-07,1.137247551231772e-11,5.463114543985416e-03
