Orbital,Index,r,Vnuc_r,Veff_r,P,Q,P_ref1,Q_ref1,P_ref2,Q_ref2
Cs_1s12,47,1.38538322E-06,-1.010989E+00,9.031840E+04,1.754577E-03,-4.312063E-06,0,0,0,0
Cs_1s12,48,1.51908051E-06,-1.108543E+00,8.237833E+04,1.923900E-03,-5.184458E-06,0,0,0,0
Cs_1s12,49,1.66567166E-06,-1.215502E+00,7.513802E+04,2.109551E-03,-6.233277E-06,0,0,0,0
Cs_1s12,50,1.82639931E-06,-1.332769E+00,6.853588E+04,2.313104E-03,-7.494180E-06,0,0,0,0
Cs_1s12,51,2.00262406E-06,-1.461337E+00,6.251488E+04,2.536281E-03,-9.010016E-06,0,0,0,0
Cs_1s12,52,2.19583892E-06,-1.602291E+00,5.702736E+04,2.780972E-03,-1.083230E-05,0,0,0,0
Cs_1s12,53,2.40767909E-06,-1.756822E+00,5.202138E+04,3.049247E-03,-1.302292E-05,0,0,0,0
Cs_1s12,54,2.63993784E-06,-1.926231E+00,4.745494E+04,3.343376E-03,-1.565627E-05,0,0,0,0
Cs_1s12,55,2.89458149E-06,-2.111948E+00,4.329452E+04,3.665847E-03,-1.882176E-05,0,0,0,0
Cs_1s12,56,3.17376413E-06,-2.315534E+00,3.950231E+04,4.019384E-03,-2.262680E-05,0,0,0,0
Cs_1s12,57,3.47984673E-06,-2.538702E+00,3.604514E+04,4.406974E-03,-2.720047E-05,0,0,0,0
Cs_1s12,58,3.81541687E-06,-2.783323E+00,3.289181E+04,4.831891E-03,-3.269783E-05,0,0,0,0
Cs_1s12,59,4.18331047E-06,-3.051445E+00,3.001793E+04,5.297719E-03,-3.930516E-05,0,0,0,0
Cs_1s12,60,4.58663754E-06,-3.345311E+00,2.740060E+04,5.808388E-03,-4.724626E-05,0,0,0,0
Cs_1s12,61,5.02880208E-06,-3.667367E+00,2.501382E+04,6.368199E-03,-5.678986E-05,0,0,0,0
Cs_1s12,62,5.51353855E-06,-4.020291E+00,2.283858E+04,6.981866E-03,-6.825873E-05,0,0,0,0
Cs_1s12,63,6.04493797E-06,-4.407005E+00,2.085862E+04,7.654551E-03,-8.204040E-05,0,0,0,0
Cs_1s12,64,6.62748349E-06,-4.830696E+00,1.905553E+04,8.391906E-03,-9.860009E-05,0,0,0,0
Cs_1s12,65,7.26608467E-06,-5.294836E+00,1.741264E+04,9.200118E-03,-1.184961E-04,0,0,0,0
Cs_1s12,66,7.96612569E-06,-5.803208E+00,1.591757E+04,1.008596E-02,-1.423983E-04,0,0,0,0
Cs_1s12,67,8.73350295E-06,-6.359925E+00,1.455800E+04,1.105684E-02,-1.711103E-04,0,0,0,0
Cs_1s12,68,9.57467937E-06,-6.969448E+00,1.332179E+04,1.212087E-02,-2.055957E-04,0,0,0,0
Cs_1s12,69,1.04967319E-05,-7.636610E+00,1.219828E+04,1.328691E-02,-2.470092E-04,0,0,0,0
Cs_1s12,70,1.15074152E-05,-8.366629E+00,1.117795E+04,1.456465E-02,-2.967340E-04,0,0,0,0
Cs_1s12,71,1.26152261E-05,-9.165130E+00,1.025283E+04,1.596468E-02,-3.564263E-04,0,0,0,0
Cs_1s12,72,1.38294717E-05,-1.003814E+01,9.414806E+03,1.749855E-02,-4.280671E-04,0,0,0,0
Cs_1s12,73,1.51603440E-05,-1.099210E+01,8.656746E+03,1.917888E-02,-5.140241E-04,0,0,0,0
Cs_1s12,74,1.66190102E-05,-1.203384E+01,7.972792E+03,2.101941E-02,-6.171243E-04,0,0,0,0
Cs_1s12,75,1.82176983E-05,-1.317053E+01,7.356981E+03,2.303513E-02,-7.407385E-04,0,0,0,0
Cs_1s12,76,1.99698037E-05,-1.440968E+01,6.804391E+03,2.524231E-02,-8.888801E-04,0,0,0,0
Cs_1s12,77,2.18899922E-05,-1.575897E+01,6.311051E+03,2.765866E-02,-1.066318E-03,0,0,0,0
Cs_1s12,78,2.39943289E-05,-1.722617E+01,5.873194E+03,3.030336E-02,-1.278708E-03,0,0,0,0
Cs_1s12,79,2.63003985E-05,-1.881888E+01,5.487656E+03,3.319720E-02,-1.532735E-03,0,0,0,0
Cs_1s12,80,2.88274593E-05,-2.054432E+01,5.152235E+03,3.636262E-02,-1.836277E-03,0,0,0,0
Cs_1s12,81,3.15965961E-05,-2.240882E+01,4.865346E+03,3.982380E-02,-2.198582E-03,0,0,0,0
Cs_1s12,82,3.46308858E-05,-2.441738E+01,4.626158E+03,4.360670E-02,-2.630442E-03,0,0,0,0
Cs_1s12,83,3.79555985E-05,-2.657280E+01,4.434962E+03,4.773913E-02,-3.144376E-03,0,0,0,0
Cs_1s12,84,4.15983858E-05,-2.887475E+01,4.293119E+03,5.225073E-02,-3.754787E-03,0,0,0,0
Cs_1s12,85,4.55895176E-05,-3.131833E+01,4.203428E+03,5.717297E-02,-4.478065E-03,0,0,0,0
Cs_1s12,86,4.99621154E-05,-3.389228E+01,4.170454E+03,6.253915E-02,-5.332615E-03,0,0,0,0
Cs_1s12,87,5.47524273E-05,-3.657655E+01,4.201025E+03,6.838430E-02,-6.338713E-03,0,0,0,0
Cs_1s12,88,6.00001133E-05,-3.933919E+01,4.304286E+03,7.474524E-02,-7.518136E-03,0,0,0,0
Cs_1s12,89,6.57485603E-05,-4.213234E+01,4.491321E+03,8.166054E-02,-8.893411E-03,0,0,0,0
Cs_1s12,90,7.20452343E-05,-4.488752E+01,4.772474E+03,8.917081E-02,-1.048653E-02,0,0,0,0
Cs_1s12,91,7.89420505E-05,-4.751086E+01,5.144886E+03,9.731930E-02,-1.231693E-02,0,0,0,0
Cs_1s12,92,8.64957898E-05,-4.988089E+01,5.551143E+03,1.061529E-01,-1.439863E-02,0,0,0,0
Cs_1s12,93,9.47685433E-05,-5.185703E+01,5.799116E+03,1.157226E-01,-1.673672E-02,0,0,0,0
Cs_1s12,94,1.03828197E-04,-5.331527E+01,5.585648E+03,1.260816E-01,-1.932452E-02,0,0,0,0
Cs_1s12,95,1.13748973E-04,-5.422071E+01,4.807077E+03,1.372894E-01,-2.214479E-02,0,0,0,0
Cs_1s12,96,1.24611998E-04,-5.467808E+01,3.789814E+03,1.494255E-01,-2.517786E-02,0,0,0,0
Cs_1s12,97,1.36505939E-04,-5.486678E+01,2.961716E+03,1.625800E-01,-2.841263E-02,0,0,0,0
Cs_1s12,98,1.49527688E-04,-5.493120E+01,2.439435E+03,1.768368E-01,-3.185147E-02,0,0,0,0
Cs_1s12,99,1.63783106E-04,-5.494820E+01,2.110223E+03,1.922832E-01,-3.550773E-02,0,0,0,0
Cs_1s12,100,1.79387834E-04,-5.494951E+01,1.867590E+03,2.090167E-01,-3.940137E-02,0,0,0,0
Cs_1s12,101,1.96468178E-04,-5.494610E+01,1.664407E+03,2.271440E-01,-4.355607E-02,0,0,0,0
Cs_1s12,102,2.15162065E-04,-5.494119E+01,1.484378E+03,2.467789E-01,-4.799779E-02,0,0,0,0
Cs_1s12,103,2.35620078E-04,-5.493556E+01,1.322017E+03,2.680433E-01,-5.275431E-02,0,0,0,0
Cs_1s12,104,2.58006591E-04,-5.492935E+01,1.175047E+03,2.910677E-01,-5.785509E-02,0,0,0,0
Cs_1s12,105,2.82500997E-04,-5.492254E+01,1.042029E+03,3.159911E-01,-6.333132E-02,0,0,0,0
Cs_1s12,106,3.09299030E-04,-5.491507E+01,9.217668E+02,3.429624E-01,-6.921600E-02,0,0,0,0
Cs_1s12,107,3.38614205E-04,-5.490688E+01,8.131737E+02,3.721400E-01,-7.554406E-02,0,0,0,0
Cs_1s12,108,3.70679387E-04,-5.489792E+01,7.152560E+02,4.036928E-01,-8.235239E-02,0,0,0,0
Cs_1s12,109,4.05748472E-04,-5.488809E+01,6.271009E+02,4.377999E-01,-8.967999E-02,0,0,0,0
Cs_1s12,110,4.44098221E-04,-5.487733E+01,5.478695E+02,4.746516E-01,-9.756796E-02,0,0,0,0
Cs_1s12,111,4.86030236E-04,-5.486555E+01,4.767902E+02,5.144486E-01,-1.060596E-01,0,0,0,0
Cs_1s12,112,5.31873099E-04,-5.485264E+01,4.131516E+02,5.574032E-01,-1.152004E-01,0,0,0,0
Cs_1s12,113,5.81984680E-04,-5.483851E+01,3.562973E+02,6.037379E-01,-1.250379E-01,0,0,0,0
Cs_1s12,114,6.36754628E-04,-5.482303E+01,3.056210E+02,6.536864E-01,-1.356220E-01,0,0,0,0
Cs_1s12,115,6.96607062E-04,-5.480609E+01,2.605613E+02,7.074923E-01,-1.470045E-01,0,0,0,0
Cs_1s12,116,7.62003467E-04,-5.478755E+01,2.205988E+02,7.654088E-01,-1.592391E-01,0,0,0,0
Cs_1s12,117,8.33445816E-04,-5.476726E+01,1.852521E+02,8.276973E-01,-1.723812E-01,0,0,0,0
Cs_1s12,118,9.11479925E-04,-5.474506E+01,1.540751E+02,8.946267E-01,-1.864876E-01,0,0,0,0
Cs_1s12,119,9.96699062E-04,-5.472077E+01,1.266548E+02,9.664711E-01,-2.016160E-01,0,0,0,0
Cs_1s12,120,1.08974783E-03,-5.469420E+01,1.026092E+02,1.043508E+00,-2.178250E-01,0,0,0,0
Cs_1s12,121,1.19132632E-03,-5.466515E+01,8.158523E+01,1.126015E+00,-2.351729E-01,0,0,0,0
Cs_1s12,122,1.30219459E-03,-5.463339E+01,6.325763E+01,1.214266E+00,-2.537173E-01,0,0,0,0
Cs_1s12,123,1.42317741E-03,-5.459867E+01,4.732746E+01,1.308531E+00,-2.735144E-01,0,0,0,0
Cs_1s12,124,1.55516941E-03,-5.456074E+01,3.352092E+01,1.409064E+00,-2.946177E-01,0,0,0,0
Cs_1s12,125,1.69914053E-03,-5.451930E+01,2.158822E+01,1.516103E+00,-3.170766E-01,0,0,0,0
Cs_1s12,126,1.85614184E-03,-5.447404E+01,1.130248E+01,1.629863E+00,-3.409357E-01,0,0,0,0
Cs_1s12,127,2.02731176E-03,-5.442464E+01,2.458611E+00,1.750525E+00,-3.662322E-01,0,0,0,0
Cs_1s12,128,2.21388271E-03,-5.437073E+01,-5.127802E+00,1.878229E+00,-3.929948E-01,0,0,0,0
Cs_1s12,129,2.41718812E-03,-5.431192E+01,-1.162171E+01,2.013065E+00,-4.212411E-01,0,0,0,0
Cs_1s12,130,2.63866990E-03,-5.424781E+01,-1.716984E+01,2.155056E+00,-4.509753E-01,0,0,0,0
Cs_1s12,131,2.87988641E-03,-5.417795E+01,-2.190191E+01,2.304155E+00,-4.821854E-01,0,0,0,0
Cs_1s12,132,3.14252081E-03,-5.410187E+01,-2.593203E+01,2.460221E+00,-5.148405E-01,0,0,0,0
Cs_1s12,133,3.42838997E-03,-5.401907E+01,-2.935992E+01,2.623010E+00,-5.488874E-01,0,0,0,0
Cs_1s12,134,3.73945380E-03,-5.392901E+01,-3.227229E+01,2.792155E+00,-5.842470E-01,0,0,0,0
Cs_1s12,135,4.07782517E-03,-5.383113E+01,-3.474413E+01,2.967152E+00,-6.208109E-01,0,0,0,0
Cs_1s12,136,4.44578026E-03,-5.372485E+01,-3.683989E+01,3.147340E+00,-6.584380E-01,0,0,0,0
Cs_1s12,137,4.84576946E-03,-5.360954E+01,-3.861476E+01,3.331885E+00,-6.969499E-01,0,0,0,0
Cs_1s12,138,5.28042881E-03,-5.348456E+01,-4.011573E+01,3.519759E+00,-7.361285E-01,0,0,0,0
Cs_1s12,139,5.75259193E-03,-5.334924E+01,-4.138262E+01,3.709729E+00,-7.757115E-01,0,0,0,0
Cs_1s12,140,6.26530247E-03,-5.320289E+01,-4.244907E+01,3.900340E+00,-8.153904E-01,0,0,0,0
Cs_1s12,141,6.82182715E-03,-5.304480E+01,-4.334337E+01,4.089904E+00,-8.548081E-01,0,0,0,0
Cs_1s12,142,7.42566915E-03,-5.287426E+01,-4.408924E+01,4.276495E+00,-8.935577E-01,0,0,0,0
Cs_1s12,143,8.08058215E-03,-5.269052E+01,-4.470650E+01,4.457950E+00,-9.311825E-01,0,0,0,0
Cs_1s12,144,8.79058474E-03,-5.249284E+01,-4.521166E+01,4.631871E+00,-9.671779E-01,0,0,0,0
Cs_1s12,145,9.55997533E-03,-5.228048E+01,-4.561848E+01,4.795645E+00,-1.000995E+00,0,0,0,0
Cs_1s12,146,1.03933474E-02,-5.205269E+01,-4.593837E+01,4.946471E+00,-1.032046E+00,0,0,0,0
Cs_1s12,147,1.12956053E-02,-5.180873E+01,-4.618077E+01,5.081395E+00,-1.059713E+00,0,0,0,0
Cs_1s12,148,1.22719801E-02,-5.154784E+01,-4.635351E+01,5.197368E+00,-1.083360E+00,0,0,0,0
Cs_1s12,149,1.33280461E-02,-5.126929E+01,-4.646308E+01,5.291304E+00,-1.102345E+00,0,0,0,0
Cs_1s12,150,1.44697372E-02,-5.097234E+01,-4.651481E+01,5.360170E+00,-1.116039E+00,0,0,0,0
Cs_1s12,151,1.57033640E-02,-5.065625E+01,-4.651311E+01,5.401074E+00,-1.123845E+00,0,0,0,0
Cs_1s12,152,1.70356302E-02,-5.032028E+01,-4.646162E+01,5.411374E+00,-1.125221E+00,0,0,0,0
Cs_1s12,153,1.84736499E-02,-4.996370E+01,-4.636331E+01,5.388800E+00,-1.119815E+00,0,0,0,0
Cs_1s12,154,2.00249644E-02,-4.958580E+01,-4.622064E+01,5.331568E+00,-1.107175E+00,0,0,0,0
Cs_1s12,155,2.16975588E-02,-4.918588E+01,-4.603564E+01,5.238510E+00,-1.087074E+00,0,0,0,0
Cs_1s12,156,2.34998792E-02,-4.876328E+01,-4.580999E+01,5.109187E+00,-1.059440E+00,0,0,0,0
Cs_1s12,157,2.54408482E-02,-4.831746E+01,-4.554513E+01,4.943993E+00,-1.024374E+00,0,0,0,0
Cs_1s12,158,2.75298816E-02,-4.784791E+01,-4.524229E+01,4.744232E+00,-9.821661E-01,0,0,0,0
Cs_1s12,159,2.97769035E-02,-4.735432E+01,-4.490264E+01,4.512164E+00,-9.333078E-01,0,0,0,0
Cs_1s12,160,3.21923613E-02,-4.683647E+01,-4.452721E+01,4.251010E+00,-8.784881E-01,0,0,0,0
Cs_1s12,161,3.47872402E-02,-4.629429E+01,-4.411704E+01,3.964912E+00,-8.185856E-01,0,0,0,0
Cs_1s12,162,3.75730761E-02,-4.572778E+01,-4.367310E+01,3.658838E+00,-7.546475E-01,0,0,0,0
Cs_1s12,163,4.05619691E-02,-4.513693E+01,-4.319626E+01,3.338434E+00,-6.878579E-01,0,0,0,0
Cs_1s12,164,4.37665942E-02,-4.452168E+01,-4.268725E+01,3.009828E+00,-6.194960E-01,0,0,0,0
Cs_1s12,165,4.72002127E-02,-4.388189E+01,-4.214670E+01,2.679396E+00,-5.508855E-01,0,0,0,0
Cs_1s12,166,5.08766809E-02,-4.321741E+01,-4.157509E+01,2.353492E+00,-4.833398E-01,0,0,0,0
Cs_1s12,167,5.48104589E-02,-4.252816E+01,-4.097292E+01,2.038169E+00,-4.181041E-01,0,0,0,0
Cs_1s12,168,5.90166170E-02,-4.181426E+01,-4.034078E+01,1.738914E+00,-3.563001E-01,0,0,0,0
Cs_1s12,169,6.35108413E-02,-4.107608E+01,-3.967949E+01,1.460402E+00,-2.988776E-01,0,0,0,0
Cs_1s12,170,6.83094377E-02,-4.031431E+01,-3.899008E+01,1.206301E+00,-2.465756E-01,0,0,0,0
Cs_1s12,171,7.34293340E-02,-3.952992E+01,-3.827385E+01,9.791489E-01,-1.998972E-01,0,0,0,0
Cs_1s12,172,7.88880812E-02,-3.872404E+01,-3.753226E+01,7.802951E-01,-1.591004E-01,0,0,0,0
Cs_1s12,173,8.47038522E-02,-3.789794E+01,-3.676685E+01,6.099317E-01,-1.242050E-01,0,0,0,0
Cs_1s12,174,9.08954397E-02,-3.705293E+01,-3.597918E+01,4.671951E-01,-9.501534E-02,0,0,0,0
Cs_1s12,175,9.74822516E-02,-3.619031E+01,-3.517081E+01,3.503321E-01,-7.115499E-02,0,0,0,0
Cs_1s12,176,1.04484306E-01,-3.531144E+01,-3.434332E+01,2.569118E-01,-5.211133E-02,0,0,0,0
Cs_1s12,177,1.11922222E-01,-3.441780E+01,-3.349839E+01,1.840588E-01,-3.728377E-02,0,0,0,0
Cs_1s12,178,1.19817212E-01,-3.351124E+01,-3.263805E+01,1.286861E-01,-2.603165E-02,0,0,0,0
Cs_1s12,179,1.28191073E-01,-3.259389E+01,-3.176456E+01,8.770649E-02,-1.771737E-02,0,0,0,0
Cs_1s12,180,1.37066167E-01,-3.166831E+01,-3.088062E+01,5.820613E-02,-1.174147E-02,0,0,0,0
Cs_1s12,181,1.46465416E-01,-3.073711E+01,-2.998897E+01,3.757020E-02,-7.567808E-03,0,0,0,0
Cs_1s12,182,1.56412280E-01,-2.980276E+01,-2.909216E+01,2.355843E-02,-4.738376E-03,0,0,0,0
Cs_1s12,183,1.66930743E-01,-2.886735E+01,-2.819242E+01,1.433366E-02,-2.878571E-03,0,0,0,0
Cs_1s12,184,1.78045295E-01,-2.793269E+01,-2.729167E+01,8.451719E-03,-1.694637E-03,0,0,0,0
Cs_1s12,185,1.89780911E-01,-2.700071E+01,-2.639192E+01,4.823584E-03,-9.655643E-04,0,0,0,0
Cs_1s12,186,2.02163032E-01,-2.607346E+01,-2.549533E+01,2.661224E-03,-5.317795E-04,0,0,0,0
Cs_1s12,187,2.15217541E-01,-2.515367E+01,-2.460469E+01,1.417492E-03,-2.827200E-04,0,0,0,0
Cs_1s12,188,2.28970746E-01,-2.424414E+01,-2.372286E+01,7.279800E-04,-1.449016E-04,0,0,0,0
Cs_1s12,189,2.43449348E-01,-2.334772E+01,-2.285274E+01,3.599989E-04,-7.149677E-05,0,0,0,0
Cs_1s12,190,2.58680427E-01,-2.246680E+01,-2.199679E+01,1.711907E-04,-3.391474E-05,0,0,0,0
Cs_1s12,191,2.74691406E-01,-2.160299E+01,-2.115669E+01,7.817388E-05,-1.544392E-05,0,0,0,0
Cs_1s12,192,2.91510038E-01,-2.075701E+01,-2.033318E+01,3.423275E-05,-6.741493E-06,0,0,0,0
Cs_1s12,193,3.09164369E-01,-1.992864E+01,-1.952615E+01,1.435511E-05,-2.816625E-06,0,0,0,0
Cs_1s12,194,3.27682722E-01,-1.911722E+01,-1.873496E+01,5.756142E-06,-1.124608E-06,0,0,0,0
Cs_1s12,195,3.47093662E-01,-1.832196E+01,-1.795889E+01,2.203849E-06,-4.284250E-07,0,0,0,0
Cs_1s12,196,3.67425979E-01,-1.754262E+01,-1.719774E+01,8.044731E-07,-1.554623E-07,0,0,0,0
Cs_1s12,197,3.88708654E-01,-1.677993E+01,-1.645231E+01,2.795524E-07,-5.364104E-08,0,0,0,0
Cs_1s12,198,4.10970837E-01,-1.603552E+01,-1.572424E+01,9.233531E-08,-1.756714E-08,0,0,0,0
Cs_1s12,199,4.34241823E-01,-1.531130E+01,-1.501548E+01,2.894293E-08,-5.450082E-09,0,0,0,0
Cs_1s12,200,4.58551023E-01,-1.460841E+01,-1.432723E+01,8.595867E-09,-1.598516E-09,0,0,0,0
Cs_1s12,201,4.83927941E-01,-1.392656E+01,-1.365921E+01,2.414872E-09,-4.422709E-10,0,0,0,0
Cs_1s12,202,5.10402151E-01,-1.326419E+01,-1.300994E+01,6.406490E-10,-1.672090E-10,0,0,0,0
Cs_1s12,203,5.38003269E-01,-1.261958E+01,-1.237773E+01,1.602170E-10,1.048795E-10,0,0,0,0
Cs_2p12,0,1.81818182E-08,-1.326898E-02,6.875481E+06,4.747274E-11,1.396286E-06,0,0,0,0
Cs_2p12,1,1.99385036E-08,-1.455100E-02,6.269736E+06,5.706045E-11,1.531167E-06,0,0,0,0
Cs_2p12,2,2.18649159E-08,-1.595688E-02,5.717359E+06,6.859283E-11,1.679113E-06,0,0,0,0
Cs_2p12,3,2.39774121E-08,-1.749857E-02,5.213658E+06,8.246350E-11,1.841347E-06,0,0,0,0
Cs_2p12,4,2.62940087E-08,-1.918920E-02,4.754334E+06,9.914591E-11,2.019239E-06,0,0,0,0
Cs_2p12,5,2.88344252E-08,-2.104318E-02,4.335478E+06,1.192094E-10,2.214330E-06,0,0,0,0
Cs_2p12,6,3.16202310E-08,-2.307625E-02,3.953530E+06,1.433386E-10,2.428267E-06,0,0,0,0
Cs_2p12,7,3.46751844E-08,-2.530573E-02,3.605232E+06,1.723568E-10,2.662871E-06,0,0,0,0
Cs_2p12,8,3.80252225E-08,-2.775057E-02,3.287624E+06,2.072540E-10,2.920138E-06,0,0,0,0
Cs_2p12,9,4.16989144E-08,-3.043161E-02,2.997998E+06,2.492209E-10,3.202256E-06,0,0,0,0
Cs_2p12,10,4.57274494E-08,-3.337161E-02,2.733891E+06,2.996891E-10,3.511627E-06,0,0,0,0
Cs_2p12,11,5.01451814E-08,-3.659564E-02,2.493052E+06,3.603804E-10,3.850880E-06,0,0,0,0
Cs_2p12,12,5.49896152E-08,-4.013108E-02,2.273434E+06,4.333649E-10,4.222904E-06,0,0,0,0
Cs_2p12,13,6.03020609E-08,-4.400807E-02,2.073162E+06,5.211325E-10,4.630857E-06,0,0,0,0
Cs_2p12,14,6.61276171E-08,-4.825952E-02,1.890537E+06,6.266766E-10,5.078246E-06,0,0,0,0
Cs_2p12,15,7.25158324E-08,-5.292160E-02,1.724003E+06,7.535968E-10,5.568852E-06,0,0,0,0
Cs_2p12,16,7.95210387E-08,-5.803395E-02,1.572142E+06,9.062221E-10,6.106809E-06,0,0,0,0
Cs_2p12,17,8.72029651E-08,-6.364017E-02,1.433658E+06,1.089758E-09,6.696725E-06,0,0,0,0
Cs_2p12,18,9.56268180E-08,-6.978784E-02,1.307376E+06,1.310464E-09,7.343609E-06,0,0,0,0
Cs_2p12,19,1.04864419E-07,-7.652938E-02,1.192217E+06,1.575868E-09,8.053012E-06,0,0,0,0
Cs_2p12,20,1.14993978E-07,-8.392186E-02,1.087207E+06,1.895017E-09,8.830938E-06,0,0,0,0
Cs_2p12,21,1.26102019E-07,-9.202843E-02,9.914459E+05,2.278797E-09,9.683918E-06,0,0,0,0
